NAME;PORTFOLIO;SYMBOL
Web3Games.com;Play_To_Earn;WGT
Meta Masters Guild Games;Play_To_Earn;MEMAGX
Arcas;Play_To_Earn;ARCAS
Solice;Play_To_Earn;SLC
Anima Spirit Gem;Play_To_Earn;ASG
Sipher;Play_To_Earn;SIPHER
Champz;Play_To_Earn;CHAMPZ
Hydraverse;Play_To_Earn;HDV
Titanium22;Play_To_Earn;TI
CryptoMines;Play_To_Earn;ETERNAL
Hero Arena;Play_To_Earn;HERA
Nomad Exiles;Play_To_Earn;PRIDE
xPET tech BPET;Play_To_Earn;BPET
Snook;Play_To_Earn;SNK
StarSharks (SSS);Play_To_Earn;SSS
Pegaxy;Play_To_Earn;PGX
Bezoge Earth;Play_To_Earn;BEZOGE
PECland;Play_To_Earn;PECL
TCGCoin 2.0;Play_To_Earn;TCG2
TryHards;Play_To_Earn;TRYHARDS
TTcoin;Play_To_Earn;TC
Metarun;Play_To_Earn;MRUN
Memes vs Undead;Play_To_Earn;MVU
Kryxivia;Play_To_Earn;KXA
MetaGods;Play_To_Earn;MGOD
Moonscape;Play_To_Earn;MSCP
Mechanium;Play_To_Earn;MECHA
Ainu Token;Play_To_Earn;AINU
Carmin;Play_To_Earn;CARMIN
Bit Hotel;Play_To_Earn;BTH
ChainCade;Play_To_Earn;CHAINCADE
HappyLand;Play_To_Earn;HPL
Flare Token;Play_To_Earn;1FLR
Monsterra (MAG);Play_To_Earn;MAG
Wanaka Farm;Play_To_Earn;WANA
Medamon;Play_To_Earn;MON
Magic Beasties;Play_To_Earn;BSTS
Waves Ducks;Play_To_Earn;EGG
World of Defish;Play_To_Earn;WOD
Age of Tanks;Play_To_Earn;A.O.T
Capverse;Play_To_Earn;CAP
EZZY GAME;Play_To_Earn;EZY
Cool Cats MILK;Play_To_Earn;MILK
Vault Hill City;Play_To_Earn;VHC
Mech Master;Play_To_Earn;MECH
Fancy Games;Play_To_Earn;FNC
DoragonLand;Play_To_Earn;DOR
Beam;Play_To_Earn;BEAM
Gala;Play_To_Earn;GALA
FLOKI;Play_To_Earn;FLOKI
Axie Infinity;Play_To_Earn;AXS
The Sandbox;Play_To_Earn;SAND
Decentraland;Play_To_Earn;MANA
WEMIX;Play_To_Earn;WEMIX
Illuvium;Play_To_Earn;ILV
Pixels;Play_To_Earn;PIXEL
Yield Guild Games;Play_To_Earn;YGG
WAX;Play_To_Earn;WAXP
GuildFi;Play_To_Earn;GF
Guild of Guardians;Play_To_Earn;GOG
Seedify.fund;Play_To_Earn;SFUND
Smooth Love Potion;Play_To_Earn;SLP
Nakamoto Games;Play_To_Earn;NAKA
XYO;Play_To_Earn;XYO
Victoria VR;Play_To_Earn;VR
Aavegotchi;Play_To_Earn;GHST
MOBOX;Play_To_Earn;MBOX
RACA;Play_To_Earn;RACA
XPLA;Play_To_Earn;XPLA
Mines of Dalarnia;Play_To_Earn;DAR
GameFi.org;Play_To_Earn;GAFI
MyNeighborAlice;Play_To_Earn;ALICE
SIDUS;Play_To_Earn;SIDUS
Star Atlas;Play_To_Earn;ATLAS
Star Atlas DAO;Play_To_Earn;POLIS
Boson Protocol;Play_To_Earn;BOSON
Alien Worlds;Play_To_Earn;TLM
Gods Unchained;Play_To_Earn;GODS
Games for a Living;Play_To_Earn;GFAL
Cornucopias;Play_To_Earn;COPI
DEAPcoin;Play_To_Earn;DEP
Voxies;Play_To_Earn;VOXEL
Aurory;Play_To_Earn;AURY
Biswap;Play_To_Earn;BSW
BADMAD ROBOTS;Play_To_Earn;METAL
Katana Inu;Play_To_Earn;KATA
QORPO WORLD;Play_To_Earn;QORPO
Creo Engine;Play_To_Earn;CREO
VIDT DAO;Play_To_Earn;VIDT
DeRace;Play_To_Earn;DERC
UFO Gaming;Play_To_Earn;UFO
Volt Inu;Play_To_Earn;VOLT
WAGMI Games;Play_To_Earn;WAGMIGAMES
ParagonsDAO;Play_To_Earn;PDT
Splintershards;Play_To_Earn;SPS
Metacade;Play_To_Earn;MCADE
REVV;Play_To_Earn;REVV
Affyn;Play_To_Earn;FYN
GAMEE;Play_To_Earn;GMEE
SENATE;Play_To_Earn;SENATE
Decimated;Play_To_Earn;DIO
WeWay;Play_To_Earn;WWY
PlayZap;Play_To_Earn;PZP
MagicCraft;Play_To_Earn;MCRT
Netvrk;Play_To_Earn;NETVR
Bag;Play_To_Earn;BAG
Rainbow Token;Play_To_Earn;RBW
Aether Games;Play_To_Earn;AEG
Blink Galaxy;Play_To_Earn;GQ
Captain Tsubasa;Play_To_Earn;TSUGT
UNKJD;Play_To_Earn;MBS
Cryowar;Play_To_Earn;CWAR
X World Games;Play_To_Earn;XWG
Rebel Bots;Play_To_Earn;RBLS
MARS4;Play_To_Earn;MARS4
Dotmoovs;Play_To_Earn;MOOV
DOGAMÍ;Play_To_Earn;DOGA
Xaya;Play_To_Earn;CHI
Exeedme;Play_To_Earn;XED
Battle World;Play_To_Earn;BWO
Revomon;Play_To_Earn;REVO
CropBytes;Play_To_Earn;CBX
Fabwelt;Play_To_Earn;WELT
SHILL Token;Play_To_Earn;SHILL
ChainGuardians;Play_To_Earn;CGG
Heroes Chained;Play_To_Earn;HEC
Ertha;Play_To_Earn;ERTHA
RealFevr;Play_To_Earn;FEVR
Monsta Infinite;Play_To_Earn;MONI
Seascape Crowns;Play_To_Earn;CWS
FEAR;Play_To_Earn;FEAR
TenUp;Play_To_Earn;TUP
XCarnival;Play_To_Earn;XCV
ZooKeeper;Play_To_Earn;ZOO
Kryptomon;Play_To_Earn;KMON
Monsterra (MSTR);Play_To_Earn;MSTR
Polychain Monsters;Play_To_Earn;PMON
Blockchain Monster Hunt;Play_To_Earn;BCMC
Revolve Games;Play_To_Earn;RPG
Eldarune;Play_To_Earn;ELDA
The Unfettered Ecosystem;Play_To_Earn;SOULS
MetaFighter;Play_To_Earn;MF
SafeMoon Inu;Play_To_Earn;SMI
Nemesis Downfall;Play_To_Earn;ND
Salad;Play_To_Earn;SALD
Elemon;Play_To_Earn;ELMON
Token IN;Play_To_Earn;TIN
