;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
16;161;Raydium RAY;$1.55;+1.24%;+4.30%;-18.01%;$408.87M $408,873,379;$19,315,065 12,595,047 RAY;262,742,156 RAY
17;170;Jito JTO;$3.24;+2.34%;+16.46%;-13.11%;$375.85M $375,852,807;$127,276,954 40,022,807 JTO;117,197,247 JTO
18;212;Marinade Staked SOL MSOL;$168.59;+1.73%;+5.76%;-17.24%;$879.58M $879,582,593;$25,917,975 155,894 MSOL;5,204,982 MSOL
19;255;MAGA TRUMP;$5.36;+2.80%;+6.28%;-6.32%;$223.49M $223,494,034;$3,149,922 595,754 TRUMP;42,055,436 TRUMP
20;257;Audius AUDIO;$0.1828;+0.55%;+3.00%;-30.09%;$220.92M $220,923,095;$5,104,999 28,152,263 AUDIO;1,210,174,852 AUDIO
21;264;Band Protocol BAND;$1.49;-0.07%;+3.37%;-32.49%;$209.86M $209,857,444;$5,217,539 3,517,702 BAND;141,195,866 BAND
22;270;SLERF SLERF;$0.4183;+0.35%;-2.65%;+25.57%;$208.51M $208,514,344;$122,632,921 296,545,740 SLERF;499,997,750 SLERF
23;276;Coin98 C98;$0.2774;+0.22%;+1.79%;-29.24%;$203.14M $203,136,020;$10,501,652 38,081,703 C98;733,888,778 C98
24;296;Marlin POND;$0.02251;+0.96%;+4.01%;-25.03%;$183.31M $183,314,192;$4,623,218 207,072,576 POND;8,087,375,977 POND
25;311;Wen WEN;$0.0002331;+0.70%;+16.39%;-12.82%;$169.07M $169,069,223;$37,304,317 162,379,999,516 WEN;727,716,951,329 WEN
26;316;Civic CVC;$0.1647;+0.94%;+4.62%;-13.48%;$165.05M $165,049,961;$33,322,937 204,071,967 CVC;1,000,000,000 CVC
27;332;Covalent CQT;$0.221;+0.36%;-0.07%;-13.73%;$151.7M $151,696,781;$1,442,126 6,526,845 CQT;686,658,970 CQT
28;342;Myro MYRO;$0.1497;-0.71%;+4.13%;-31.40%;$141.07M $141,066,141;$25,172,183 169,318,408 MYRO;944,203,815 MYRO
29;349;Hivemapper HONEY;$0.1042;-1.29%;+10.19%;-12.93%;$131.73M $131,725,637;$1,839,658 17,714,478 HONEY;1,304,165,905 HONEY
30;365;Popcat (SOL) POPCAT;$0.1365;+2.80%;+19.50%;-33.43%;$132.65M $132,645,741;$19,889,120 149,848,977 POPCAT;979,973,185 POPCAT
31;382;Hashflow HFT;$0.3085;+0.28%;+1.65%;-23.45%;$119.07M $119,067,498;$15,297,030 50,002,354 HFT;387,234,311 HFT
32;387;Orca ORCA;$2.36;-0.15%;+3.54%;-23.95%;$118.01M $118,014,503;$5,157,348 2,198,944 ORCA;49,990,353 ORCA
33;399;Highstreet HIGH;$2.26;+0.00%;-1.33%;-26.19%;$113.59M $113,591,440;$14,777,245 6,583,930 HIGH;50,365,992 HIGH
34;414;Tensor TNSR;$0.8531;+0.08%;-4.36%;-39.08%;$106.35M $106,353,676;$148,399,077 175,343,888 TNSR;125,000,000 TNSR
35;486;Star Atlas ATLAS;$0.005083;+0.26%;+4.23%;-29.54%;$80.07M $80,074,315;$2,151,386 423,500,173 ATLAS;15,711,520,484 ATLAS
36;493;Ponke PONKE;$0.1693;-1.70%;+59.33%;+78.97%;$75.92M $75,922,707;$65,475,867 371,680,578 PONKE;429,777,374 PONKE
37;496;Star Atlas DAO POLIS;$0.3028;+0.87%;+5.18%;-20.92%;$75.73M $75,730,858;$691,441 2,285,248 POLIS;248,789,502 POLIS
38;503;Smog SMOG;$0.09424;+0.77%;-4.09%;-25.76%;$73.68M $73,681,653;$644,540 6,927,402 SMOG;778,999,968 SMOG
39;508;LeverFi LEVER;$0.002464;+0.25%;+2.07%;-29.05%;$71.55M $71,547,619;$7,697,646 3,141,233,496 LEVER;29,160,085,728 LEVER
40;525;Neon EVM NEON;$1.15;-0.34%;+3.91%;-20.22%;$66.17M $66,168,434;$4,758,331 4,143,972 NEON;57,651,000 NEON
41;533;Frontier FRONT;$0.7249;-0.10%;-3.85%;-34.55%;$65M $64,996,994;$17,661,831 24,519,811 FRONT;90,000,000 FRONT
42;556;Ren REN;$0.06094;+0.12%;+2.21%;-32.41%;$60.76M $60,761,460;$10,075,934 166,612,064 REN;999,127,500 REN
43;560;Metaplex MPLX;$0.2409;+0.26%;+9.43%;-29.28%;$60.02M $60,015,190;$1,316,764 5,476,908 MPLX;248,745,041 MPLX
44;567;Artrade ATR;$0.03879;+1.63%;-1.53%;-5.14%;$58.47M $58,465,257;$1,853,293 48,204,586 ATR;1,512,000,000 ATR
45;568;Gaimin GMRX;$0.008741;+0.67%;+2.91%;-26.73%;$57.87M $57,868,121;$1,406,832 161,663,591 GMRX;6,634,129,332 GMRX
46;589;DIA DIA;$0.4831;+0.44%;+5.57%;-21.54%;$53.55M $53,551,887;$8,508,999 17,665,113 DIA;110,617,604 DIA
47;598;Measurable Data Token MDT;$0.07591;-0.14%;+0.56%;-26.39%;$51.29M $51,293,009;$8,229,909 109,091,312 MDT;676,157,013 MDT
48;609;Kin KIN;$0.000017;-0.02%;-1.48%;-15.13%;$49.8M $49,796,577;$236,847 13,932,627,034 KIN;2,935,737,051,545 KIN
49;615;Green Satoshi Token (SOL) GST;$0.03868;+4.15%;+14.45%;-7.66%;$49.24M $49,239,291;$2,674,601 69,189,021 GST;1,262,555,672 GST
50;619;Solchat CHAT;$6.08;+1.43%;+9.71%;-3.76%;$49.03M $49,027,971;$2,783,128 462,283 CHAT;8,043,460 CHAT
51;665;RAMP RAMP;$0.08464;-0.01%;-8.87%;-20.96%;$40.78M $40,779,163;$297 3,505 RAMP;477,838,740 RAMP
52;673;Aleph.im ALEPH;$0.1561;-0.72%;+3.63%;-34.05%;$37.82M $37,823,720;$1,278,615 8,116,606 ALEPH;247,220,482 ALEPH
53;674;Bonfida FIDA;$0.3157;+0.31%;+3.26%;-28.76%;$39.12M $39,124,561;$5,032,054 16,054,608 FIDA;124,028,726 FIDA
54;692;Aurory AURY;$0.6552;+0.07%;+1.73%;-10.95%;$35.97M $35,970,015;$315,782 482,776 AURY;54,988,643 AURY
55;703;PARSIQ PRQ;$0.1338;+0.46%;+3.60%;-28.52%;$35.16M $35,163,470;$1,495,906 11,189,116 PRQ;260,256,872 PRQ
56;716;Solend SLND;$0.861;+0.58%;+0.07%;-38.76%;$33.13M $33,134,179;$46,062 53,425 SLND;38,336,723 SLND
57;744;Mango MNGO;$0.02982;+2.17%;+9.67%;+0.76%;$29.73M $29,729,841;$372,827 12,542,475 MNGO;1,000,000,000 MNGO
58;759;Only1 LIKE;$0.1055;+2.82%;+2.43%;-39.54%;$29.45M $29,452,704;$2,802,266 26,750,103 LIKE;273,286,650 LIKE
59;796;Samoyedcoin SAMO;$0.0068;-0.90%;-3.61%;-29.68%;$24.92M $24,917,927;$1,640,869 240,625,045 SAMO;3,657,134,467 SAMO
60;839;Solanium SLIM;$0.2201;+1.05%;+0.01%;-23.60%;$22.05M $22,047,646;$773,814 3,533,242 SLIM;100,000,000 SLIM
61;876;ZUSD ZUSD;$0.9996;-0.12%;-0.03%;-0.04%;$19M $19,004,710;$2,426 2,427 ZUSD;19,012,373 ZUSD
62;897;Byte BYTE;$0.00001883;+2.07%;+32.98%;-18.35%;$18.14M $18,141,705;$526,717 28,146,735,511 BYTE;964,467,033,477 BYTE
63;916;Pip PIP;$0.103;+0.16%;-3.85%;-25.86%;$16.72M $16,716,574;$100,933 980,588 PIP;162,333,223 PIP
64;917;DUKO DUKO;$0.001763;+12.93%;+62.02%;+3.64%;$17.44M $17,444,447;$2,700,015 1,565,961,457 DUKO;9,663,955,990 DUKO
65;937;Octokn OTK;$0.06063;+0.42%;+7.98%;-15.75%;$15.99M $15,986,555;$259,872 4,295,192 OTK;263,573,379 OTK
66;984;Genopets GENE;$0.3098;+0.49%;+13.01%;+1.11%;$13.78M $13,781,494;$62,727 203,003 GENE;44,483,993 GENE
67;988;GYEN GYEN;$0.006461;+0.12%;+0.48%;-0.25%;$13.54M $13,541,352;$19,682 3,046,762 GYEN;2,098,780,833 GYEN
68;1004;Zebec Network ZBC;$0.002498;+0.00%;+0.00%;-17.71%;$12.71M $12,708,836;$144,623 57,904,316 ZBC;5,088,364,937 ZBC
69;1018;Somnium Space Cubes CUBE;$0.973;+0.21%;-1.86%;-15.08%;$12.08M $12,081,390;$12,285 12,606 CUBE;12,500,000 CUBE
70;1024;Solama SOLAMA;$0.0187;+0.77%;+10.38%;-14.39%;$12.19M $12,194,772;$534,624 29,006,032 SOLAMA;653,868,075 SOLAMA
71;1034;Step Finance STEP;$0.05242;+0.28%;+3.65%;-30.22%;$11.95M $11,953,418;$59,360 1,135,695 STEP;221,408,395 STEP
72;1035;Serum SRM;$0.04375;+0.05%;+6.69%;-22.43%;$11.49M $11,491,170;$1,420,594 32,344,114 SRM;263,244,669 SRM
73;1059;Big Data Protocol BDP;$0.2015;+0.22%;+0.22%;-20.71%;$10.57M $10,573,833;$250,955 1,247,100 BDP;52,278,856 BDP
74;1060;DeFi Land DFL;$0.001472;-0.36%;-2.18%;-12.08%;$10.52M $10,521,002;$18,794 12,771,037 DFL;7,137,303,616 DFL
75;1067;Decimated DIO;$0.02488;-1.25%;-7.87%;-25.12%;$10.06M $10,056,086;$276,208 11,008,360 DIO;404,783,310 DIO
76;1076;Choise.com CHO;$0.09017;-0.00%;-8.52%;-25.82%;$9.86M $9,862,237;$1,779,534 19,761,152 CHO;109,573,889 CHO
77;1097;Gari Network GARI;$0.02492;+0.25%;+5.48%;-21.69%;$9.27M $9,270,322;$1,941,976 78,022,193 GARI;371,702,516 GARI
78;1118;neversol NEVER;$0.0001196;+6.89%;+5.63%;-33.99%;$8.64M $8,643,141;$2,277,580 18,969,880,798 NEVER;72,000,197,130 NEVER
79;1141;OpenOcean OOE;$0.01617;-0.03%;+1.62%;-21.90%;$8.16M $8,164,357;$216,112 13,373,231 OOE;504,425,832 OOE
80;1170;Amulet AMU;$0.03631;+0.63%;+4.61%;-13.23%;$7.44M $7,438,531;$5,024,366 138,457,084 AMU;209,500,000 AMU
81;1171;Ben the Dog BENDOG;$0.007615;+1.02%;+19.02%;-6.23%;$7.77M $7,772,993;$1,551,931 205,053,357 BENDOG;999,780,947 BENDOG
82;1177;Cheems CHEEMS;$0.002943;+0.48%;+0.77%;-29.89%;$7.51M $7,509,523;$175,563 59,957,463 CHEEMS;2,550,834,901 CHEEMS
83;1239;analoS ANALOS;$0.00007344;-0.45%;+4.25%;-19.83%;$6.04M $6,035,044;$5,084,377 69,056,390,602 ANALOS;82,080,218,235 ANALOS
84;1252;UNKJD MBS;$0.01901;+2.15%;+14.23%;-11.47%;$5.73M $5,731,650;$131,011 6,928,221 MBS;303,966,298 MBS
85;1288;Dust Protocol DUST;$0.2628;+0.28%;+6.25%;-1.53%;$5.03M $5,030,703;$117,996 451,049 DUST;19,143,962 DUST
86;1294;Cryowar CWAR;$0.0191;+0.28%;-0.69%;-22.44%;$4.97M $4,965,742;$71,535 3,756,784 CWAR;260,000,000 CWAR
87;1303;Panda Swap PANDA;$0.006045;+0.94%;+4.67%;-28.44%;$4.88M $4,884,479;$437,375 72,857,518 PANDA;807,994,351 PANDA
88;1400;Crowny CRWNY;$0.006973;-0.57%;+11.51%;-24.49%;$3.22M $3,222,920;$22,578 3,215,936 CRWNY;462,191,889 CRWNY
89;1416;Walken WLKN;$0.004864;-0.51%;-1.74%;-23.28%;$3.08M $3,083,724;$2,147,769 441,433,042 WLKN;634,189,090 WLKN
90;1452;VisionGame VISION;$0.004841;-0.05%;+3.85%;-11.43%;$2.67M $2,669,825;$435,892 90,272,663 VISION;550,000,000 VISION
91;1485;BOZO BOZO;$0.0...03327;+0.21%;+3.24%;-7.11%;$2.42M $2,423,098;$726,047 21,835,998,754,730 BOZO;72,824,910,656,960 BOZO
92;1487;VNX Euro VEUR;$1.07;-0.01%;+0.05%;-0.59%;$2.38M $2,380,856;$921,415 864,305 VEUR;2,233,296 VEUR
93;1503;Prism PRISM;$0.003892;+0.06%;-4.53%;+40.02%;$2.25M $2,246,146;$5,902 1,516,896 PRISM;577,152,438 PRISM
94;1534;Eggdog EGG;$0.002139;-0.69%;-14.50%;-24.11%;$2.02M $2,022,272;$1,552,596 728,743,889 EGG;945,334,730 EGG
95;1545;xHashtag AI XTAG;$0.02932;+0.07%;-0.70%;-19.14%;$1.93M $1,931,565;$144,280 4,922,933 XTAG;66,169,002 XTAG
96;1548;WOOF WOOF;$0.0001077;+0.85%;+11.90%;-13.53%;$1.93M $1,926,390;$47,565 447,839,776 WOOF;17,902,999,424 WOOF
97;1551;All.Art Protocol AART;$0.0009264;+0.47%;+2.43%;-26.85%;$1.9M $1,896,816;$90,392 98,007,680 AART;2,040,442,638 AART
98;1560;Hawksight HAWK;$0.001765;+0.65%;+7.94%;-10.96%;$1.82M $1,823,767;$57,836 33,099,419 HAWK;1,031,895,935 HAWK
99;1576;VNX Swiss Franc VCHF;$1.10;-0.05%;+0.87%;-1.21%;$1.74M $1,744,795;$774,903 706,115 VCHF;1,589,971 VCHF
100;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
101;1609;InsurAce INSUR;$0.03317;-0.50%;+4.89%;-28.22%;$1.49M $1,489,199;$134,893 4,061,616 INSUR;44,891,926 INSUR
102;1690;MIDAS MDS;$0.9975;+0.00%;-0.01%;-0.45%;$1.1M $1,097,293;$55,078 55,214 MDS;1,100,000 MDS
103;1720;MAPS MAPS;$0.02114;+0.08%;-0.02%;-18.22%;$962,802.37 $962,802;$151,913 7,181,846 MAPS;45,496,728 MAPS
104;1725;Catman CATMAN;$0.0009915;+0.11%;+8.76%;-13.66%;$942,308.41 $942,308;$865,995 873,198,208 CATMAN;950,392,964 CATMAN
105;1749;Solrise Finance SLRS;$0.005702;-0.15%;+0.18%;-6.36%;$867,657.11 $867,657;$22,759 3,994,046 SLRS;152,152,271 SLRS
106;1769;Tulip Protocol TULIP;$0.9914;-0.21%;+4.31%;-15.47%;$808,869.69 $808,870;$14,161 14,283 TULIP;815,206 TULIP
107;1781;VNX Gold VNXAU;$76.57;+0.34%;-0.13%;-0.55%;$779,322.15 $779,322;$97,896 1,278 VNXAU;10,100 VNXAU
108;1799;Dexlab DXL;$0.01341;+0.89%;+6.98%;-12.94%;$706,097.3 $706,097;$20,660 1,540,734 DXL;52,526,786 DXL
109;1806;Solzilla SOLZILLA;$0.0...01073;+1.34%;+0.18%;-13.08%;$687,986.28 $687,986;$25,019 23,325,622,820,116 SOLZILLA;641,180,240,641,250 SOLZILLA
110;1840;KING KING;$0.00006264;+1.19%;+2.57%;-14.17%;$580,760.09 $580,760;$115,529 1,844,445,739 KING;9,270,000,000 KING
111;1855;Wizardia WZRD;$0.004331;-0.03%;-0.38%;-14.48%;$549,337.51 $549,338;$66,649 15,388,450 WZRD;126,906,692 WZRD
112;1912;Oxygen OXY;$0.01067;-0.07%;-0.85%;-43.51%;$434,376.04 $434,376;$289,653 27,147,194 OXY;40,689,415 OXY
113;2006;CropperFinance CRP;$0.009321;+0.18%;+7.45%;-5.61%;$262,321.86 $262,322;$23,366 2,506,722 CRP;28,131,000 CRP
114;2051;RaceFi RACEFI;$0.004676;+0.00%;-1.92%;-2.15%;$215,957 $215,957;$251 53,731 RACEFI;46,185,335 RACEFI
115;2106;Sator SAO;$0.003111;-0.04%;+3.68%;-11.69%;$170,853.14 $170,853;$516,344 165,956,579 SAO;54,913,292 SAO
116;2131;EXGOLAND EXGO;$0.03072;+0.54%;+5.51%;-23.06%;$153,592.55 $153,593;$110,633 3,601,281 EXGO;4,999,728 EXGO
117;2263;SolChicks Token CHICKS;$0.00008756;-0.50%;-0.19%;-4.26%;$55,962.77 $55,963;$162 1,845,686 CHICKS;639,106,688 CHICKS
118;2276;Synthetify SNY;$0.008375;+0.32%;+2.85%;-17.78%;$46,950.33 $46,950;$135,022 16,155,453 SNY;5,625,000 SNY
119;2287;Bitspawn SPWN;$0.00008448;+0.01%;+10.71%;+1.64%;$43,430.87 $43,431;$572 6,773,689 SPWN;514,118,905 SPWN
120;2435;Parcl PRCL;$0.4609;-1.71%;-4.83%;-43.51%;$57.7M $57,702,291;$90,547,784 196,152,924 PRCL;125,000,000 PRCL
121;2437;Jito Staked SOL JITOSOL;$157.90;+1.54%;+6.30%;-16.99%;--;$81,958,301 519,202 JITOSOL;--
122;2443;Jupiter Perps LP JLP;$2.54;+0.09%;+1.29%;-0.03%;$35.61M $35,612,037;$49,864,763 19,620,252 JLP;14,012,242 JLP
123;2451;BlazeStake Staked SOL BSOL;$160.87;+1.67%;+6.31%;-17.07%;--;$27,014,474 167,977 BSOL;--
124;2456;Zeus Network ZEUS;$0.7147;+0.74%;+7.03%;-1.58%;$119.5M $119,495,747;$21,659,266 30,360,303 ZEUS;167,500,000 ZEUS
125;2457;Jeo Boden BODEN;$0.6315;+2.89%;+9.19%;-18.88%;$435.2M $435,204,183;$21,001,754 33,313,207 BODEN;690,325,516 BODEN
126;2487;Elumia Crowns ELU;$0.008703;-2.52%;+4.49%;-31.61%;$5.24M $5,244,981;$8,650,483 991,110,716 ELU;600,932,562 ELU
127;2513;Ansem's Cat HOBBES;$0.01414;-3.18%;+10.59%;-42.06%;$14.07M $14,069,589;$5,833,164 414,593,720 HOBBES;999,999,895 HOBBES
128;2524;Mumu the Bull MUMU;$0.00001192;+0.97%;-1.53%;+39.89%;$27.49M $27,489,141;$5,170,402 438,237,260,971 MUMU;2,329,947,757,920 MUMU
129;2530;Whales Market WHALES;$0.9004;-4.30%;+15.43%;-47.54%;$14.03M $14,034,845;$5,023,592 5,548,026 WHALES;15,500,000 WHALES
130;2538;Harambe on Solana HARAMBE;$0.01898;-0.83%;+53.04%;+40.62%;$18.86M $18,859,432;$4,670,162 247,625,999 HARAMBE;999,983,530 HARAMBE
131;2542;Serenity Shield SERSH;$0.4913;-1.09%;-6.34%;-36.28%;$2.29M $2,292,498;$4,148,856 8,389,090 SERSH;4,635,488 SERSH
132;2543;Saros SAROS;$0.004867;-0.26%;+3.21%;-33.05%;$12.83M $12,826,225;$4,132,844 845,822,966 SAROS;2,625,000,000 SAROS
133;2544;Ice Network ICE;$0.003511;+0.09%;-0.53%;-14.49%;$23.16M $23,160,342;$4,104,625 1,171,278,812 ICE;6,608,938,597 ICE
134;2555;SOLGOAT SOLGOAT;$0.02913;-1.30%;-21.67%;-32.73%;$2.91M $2,912,730;$3,470,698 119,156,189 SOLGOAT;100,000,000 SOLGOAT
135;2559;Analysoor ZERO;$0.1693;-0.51%;+3.15%;-20.27%;--;$3,339,297 19,677,465 ZERO;--
136;2568;Costco Hot Dog COST;$0.0387;+1.07%;+25.62%;-40.87%;$37.01M $37,011,310;$3,148,989 80,776,431 COST;949,397,107 COST
137;2571;OmniCat OMNI;$0.0005508;+1.35%;-1.07%;+4.18%;$25.15M $25,152,648;$3,048,028 5,552,885,266 OMNI;45,823,000,001 OMNI
138;2572;Doland Tremp TREMP;$0.3562;+1.85%;+15.80%;-36.63%;$35.58M $35,584,975;$3,047,097 8,562,802 TREMP;99,999,138 TREMP
139;2582;Bork BORK;$0.0002697;+0.35%;+8.20%;-28.26%;$2.7M $2,699,323;$2,661,985 9,861,162,710 BORK;9,999,477,761 BORK
140;2594;Lido Staked SOL stSOL;$168.56;+1.95%;+6.29%;-16.98%;$174.02M $174,022,244;$2,437,349 14,436 STSOL;1,030,697 stSOL
141;2595;Shadow Token SHDW;$1.15;+1.13%;+6.11%;-38.96%;$184.13M $184,127,370;$2,435,642 2,125,846 SHDW;160,707,704 SHDW
142;2610;Sharky SHARK;$0.3559;+0.64%;-12.05%;-58.40%;--;$2,196,623 6,185,418 SHARK;0 SHARK
143;2673;CatWifHat CATWIF;$0.004282;+4.87%;+36.89%;-21.70%;$3.84M $3,837,954;$1,489,022 349,175,060 CATWIF;899,998,383 CATWIF
144;2676;Sonic The Goat GOAT;$0.00002;+1.75%;-4.63%;-5.54%;$20.17M $20,165,361;$1,430,823 70,997,114,065 GOAT;1,000,600,349,781 GOAT
145;2692;catwifhat CWIF;$0.0...02846;+0.35%;+8.13%;+5.28%;$10.76M $10,758,779;$1,332,133 4,688,066,491,807 CWIF;37,862,492,988,445 CWIF
146;2694;SNAP $NAP;$0.000005737;+3.61%;+8.68%;-26.63%;$9.43M $9,429,223;$1,330,380 231,854,984,537 $NAP;1,643,298,925,685 $NAP
147;2703;Guufy GUUFY;$0.0002671;-0.13%;-31.40%;-11.35%;$1.83M $1,830,819;$1,235,098 4,651,464,097 GUUFY;6,894,988,084 GUUFY
148;2707;GME GME;$0.000607;+5.16%;+15.11%;-31.07%;--;$1,222,401 2,058,919,722 GME;--
149;2712;Marinade MNDE;$0.1831;+0.08%;+13.40%;-22.83%;$48.07M $48,069,618;$1,180,430 6,445,392 MNDE;262,470,133 MNDE
150;2715;Ore ORE;$244.68;-2.41%;-10.20%;+12.02%;$2.23M $2,233,581;$1,173,486 4,801 ORE;9,138 ORE
151;2716;Chinu CHINU;$0.001386;+2.44%;+9.19%;+6.12%;$1.37M $1,370,725;$1,165,381 850,193,275 CHINU;1,000,000,000 CHINU
152;2727;Abble AABL;$0.009479;-0.13%;+19.54%;-12.13%;$9.46M $9,458,916;$1,131,437 119,615,881 AABL;1,000,000,000 AABL
153;2737;Wolf Wif BALLZ;$0.009306;+2.07%;+0.41%;-11.88%;$9.36M $9,359,478;$1,088,436 116,292,367 BALLZ;1,000,000,000 BALLZ
154;2744;LessFnGas LFG;$0.000001306;+0.87%;+5.16%;-22.69%;--;$1,066,148 816,778,232,678 LFG;--
155;2752;Anita Max Wynn WYNN;$0.004587;+1.22%;+4.71%;-46.25%;$4.58M $4,576,847;$1,035,745 226,286,163 WYNN;999,934,223 WYNN
156;2772;HUND HUND;$0.01323;+1.32%;-7.39%;-41.90%;$3.3M $3,304,445;$945,760 71,552,125 HUND;250,000,000 HUND
157;2815;CHONKY CHONKY;$0.00003074;+2.34%;-6.42%;-38.09%;$15.35M $15,347,173;$818,236 26,657,531,567 CHONKY;500,000,000,000 CHONKY
158;2827;KittenWifHat KITTENWIF;$0.004347;+2.25%;+0.18%;-15.47%;$4.34M $4,341,017;$766,943 176,673,595 KITTENWIF;1,000,000,000 KITTENWIF
159;2840;Hump HUMP;$0.009955;+3.13%;+6.63%;-28.26%;$68.03M $68,034,764;$744,305 75,486,487 HUMP;6,899,999,093 HUMP
160;2847;burek obema OBEMA;$0.0008277;-1.05%;+3.17%;-20.58%;$827,485.24 $827,485;$721,203 871,559,591 OBEMA;1,000,000,000 OBEMA
161;2849;UXD Stablecoin UXD;$0.9999;-0.01%;-0.01%;+0.23%;--;$712,988 713,078 UXD;0 UXD
162;2862;Hubble Protocol HBB;$0.1675;+0.03%;-2.42%;-31.92%;$11.28M $11,283,865;$683,366 4,077,753 HBB;67,332,616 HBB
163;2902;Gigachad GIGA;$0.001368;+0.97%;+17.95%;+3.80%;$13.11M $13,114,961;$580,285 424,945,314 GIGA;9,604,138,697 GIGA
164;2910;TwoTalkingCats TWOCAT;$0.003947;+3.42%;+42.41%;+67.26%;$3.95M $3,948,387;$565,054 143,108,823 TWOCAT;999,992,136 TWOCAT
165;2922;A Gently Used 2001 Honda Civic USEDCAR;$0.01707;+2.86%;+30.16%;-0.08%;$5.67M $5,674,191;$546,149 32,042,718 USEDCAR;332,906,287 USEDCAR
166;2962;mouse in a cats world MOW;$0.000002916;+5.68%;-43.25%;-43.25%;$287,166.36 $287,166;$493,208 171,749,995,878 MOW;99,999,999,999 MOW
167;2971;SonicWifHat SONICWIF;$0.0001134;+2.29%;+2.90%;-58.90%;$113,208.65 $113,209;$477,392 4,216,923,647 SONICWIF;1,000,000,000 SONICWIF
168;2973;Milady Wif Hat LADYF;$0.00002263;+0.78%;+6.57%;-35.75%;$22.68M $22,675,868;$472,802 20,850,461,586 LADYF;1,000,000,000,000 LADYF
169;2977;Monkey MONKEY;$0.0...01135;+0.81%;+0.81%;-9.78%;$477,049.43 $477,049;$466,926 411,758,074,638,596 MONKEY;420,685,309,978,037 MONKEY
170;2984;Magic Internet Money MIM;$0.001359;-1.54%;-30.22%;+107.20%;$1.35M $1,351,652;$458,352 339,062,998 MIM;999,875,663 MIM
171;3032;Media Network MEDIA;$21.20;+5.73%;+12.73%;-22.69%;$5.35M $5,345,043;$394,533 18,453 MEDIA;250,000 MEDIA
172;3048;Taki Games TAKI;$0.01932;+1.35%;+5.74%;-18.11%;$22.65M $22,645,236;$383,247 19,815,720 TAKI;1,170,868,697 TAKI
173;3053;BitBrawl BRAWL;$0.001314;+3.61%;+5.49%;-61.06%;$1.27M $1,268,384;$376,619 287,886,812 BRAWL;969,550,000 BRAWL
174;3096;Print Protocol PRINT;$0.0005453;+0.41%;-9.61%;-31.54%;$5.45M $5,453,077;$338,818 621,332,989 PRINT;10,000,000,000 PRINT
175;3108;SOFT COQ INU SOFTCO;$0.0005091;+32.24%;+179.60%;+179.60%;$203,078.76 $203,079;$333,649 657,182,201 SOFTCO;400,000,000 SOFTCO
